,Angle (degree),Scaled Angle (degree),Current (micro-Amp),Log Current
0,70.4,-11.599999999999994,0.19999999999999996,-1.6094379124341005
1,74.6,-7.400000000000006,9.1,2.2082744135228043
2,75.6,-6.400000000000006,18.8,2.9338568698359038
3,76.6,-5.400000000000006,41.2,3.7184382563554808
4,77.0,-5.0,55.2,4.01096295328305
5,77.2,-4.799999999999997,70.2,4.251348311031766
6,77.4,-4.599999999999994,83.2,4.421247347827163
7,78.4,-3.5999999999999943,99.2,4.597138014290827
8,78.8,-3.200000000000003,199.2,5.294309345150498
9,79.0,-3.0,299.2,5.7011122461003225
10,80.0,-2.0,599.2,6.3955954322030095
11,80.6,-1.4000000000000057,899.2,6.8015054791394265
12,80.8,-1.2000000000000028,999.2,6.906954958811368
13,81.0,-1.0,1199.2,7.089409946788388
14,81.6,-0.4000000000000057,1399.2,7.2436559237043925
15,81.8,-0.20000000000000284,1499.2,7.312686911484158
16,82.0,0.0,1599.2,7.37725878318619
17,82.6,0.5999999999999943,1499.2,7.312686911484158
18,82.8,0.7999999999999972,1399.2,7.2436559237043925
19,83.0,1.0,1299.2,7.169503969407414
20,83.2,1.2000000000000028,1199.2,7.089409946788388
21,83.4,1.4000000000000057,1099.2,7.002337921468085
22,83.6,1.5999999999999943,999.2,6.906954958811368
23,84.0,2.0,899.2,6.8015054791394265
24,84.2,2.200000000000003,799.2,6.683611227334344
25,84.6,2.5999999999999943,599.2,6.3955954322030095
26,85.6,3.5999999999999943,299.2,5.7011122461003225
27,86.4,4.400000000000006,99.2,4.597138014290827
28,87.0,5.0,70.2,4.251348311031766
29,87.4,5.400000000000006,49.2,3.8958936234982624
30,88.0,6.0,39.2,3.6686767467964168
31,88.6,6.599999999999994,19.2,2.954910279033736
32,90.4,8.400000000000006,9.2,2.2192034840549946
33,90.6,8.599999999999994,4.4,1.4816045409242156
34,90.8,8.799999999999997,2.8,1.0296194171811581
35,92.8,10.799999999999997,0.7,-0.35667494393873245
36,93.6,11.599999999999994,0.19999999999999996,-1.6094379124341005
37,94.0,12.0,0.09999999999999998,-2.302585092994046
